ms_uri,source_id,record_id,country,state_or_province,crs,other_names,site_name,commodity,deposit_type,longitude,latitude,location,GroupID_location,link_method,GroupID_text
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158064,https://mrdata.usgs.gov/mrds,10158064,Canada,Ontario,EPSG:4326,No Alternate Names,Totten,"elements,balt,,pper,,Silver,Gold,","Impact U-M intrusion nickel- copper-PGE,Komatiite nickel-copper-PGE,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",-81.45949,46.37859,POINT (-81.4594900000000024 46.3785900000000098),751,GEO,https://mrdata.usgs.gov/mrds761
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10245116,https://mrdata.usgs.gov/mrds,10245116,United States,Missouri,EPSG:4326,"",Motte,",,,pper,balt","Irish-type sediment- hosted zinc- lead,MVT zinc-lead,Replacement zinc-lead,Sandstone-hosted zinc-lead",-90.2737,37.61196,POINT (-90.2737000000000052 37.6119599999999963),559,GEO,https://mrdata.usgs.gov/mrds441
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096541,https://mrdata.usgs.gov/mrds,10096541,France,"",EPSG:4326,"",New Caledonia,"",Laterite nickel,164.73186,-21.33023,POINT (164.7318600000000117 -21.3302300000000002),165,GEO,https://mrdata.usgs.gov/mrds408
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10069262,https://mrdata.usgs.gov/mrds,10069262,Philippines,"",EPSG:4326,"",Zambales Laterite Philippines,"",Laterite nickel,119.99933,16.25001,POINT (119.9993299999999863 16.2500099999999996),229,GEO,https://mrdata.usgs.gov/mrds1598
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10238032,https://mrdata.usgs.gov/mrds,10238032,United States,California,EPSG:4326,Red Hill,Red Hill pper Butte,"",Vein ± replacement nickel,-116.55834,33.04196,POINT (-116.5583400000000012 33.0419600000000031),472,GEO,https://mrdata.usgs.gov/mrds485
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039202,https://mrdata.usgs.gov/mrds,10039202,Australia,"",EPSG:4326,"",Stia,",,,Gold,pper","Impact U-M intrusion nickel- copper-PGE,Komatiite nickel-copper-PGE",121.4992,-30.32945,POINT (121.4991999999999877 -30.3294499999999978),564,GEO,https://mrdata.usgs.gov/mrds308
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10056257,https://mrdata.usgs.gov/mrds,10056257,United States,Montana,EPSG:4326,"",Mountain View,",,pper,","U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE",-109.89996,45.38214,POINT (-109.8999599999999930 45.3821399999999997),522,GEO,https://mrdata.usgs.gov/mrds1030
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10042880,https://mrdata.usgs.gov/mrds,10042880,United States,Oregon,EPSG:4326,"",Bluff,"balt,,pper,Iron","Ophiolite nickel-copper-PGE,Vein ± replacement nickel",-123.66366,42.3126,POINT (-123.6636599999999930 42.3126000000000033),745,GEO,https://mrdata.usgs.gov/mrds803
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024572,https://mrdata.usgs.gov/mrds,10024572,Canada,Ontario,EPSG:4326,East Falconbridge,Falnbridge Limited,"pper,Gold,,Silver,,balt, elements,",Impact U-M intrusion nickel- copper-PGE,-80.78255,46.58193,POINT (-80.7825500000000005 46.5819299999999927),752,GEO,https://mrdata.usgs.gov/mrds7
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10070071,https://mrdata.usgs.gov/mrds,10070071,Canada,Manitoba,EPSG:4326,Birch Tree,Birchtree,"Silver,,Gold,,pper,balt, elements,","Komatiite nickel-copper-PGE,U-M conduit nickel-copper- PGE",-97.91715,55.70007,POINT (-97.9171499999999924 55.7000699999999895),592,GEO,https://mrdata.usgs.gov/mrds814
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10278966,https://mrdata.usgs.gov/mrds,10278966,Canada,Manitoba,EPSG:4326,"",34,"","Anorthosite conduit nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,Komatiite nickel-copper-PGE,U-M conduit nickel-copper- PGE",-99.18661,54.08893,POINT (-99.1866099999999875 54.0889299999999977),531,GEO,https://mrdata.usgs.gov/mrds436
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10087816,https://mrdata.usgs.gov/mrds,10087816,United States,Colorado,EPSG:4326,"",Ralston Buttes,"balt,,,pper,,,,,Silver,,Gold","Albitite-hosted uranium,Iron oxide uranium,Supergene uranium",-105.28141,39.84443,POINT (-105.2814099999999797 39.8444299999999956),546,GEO,https://mrdata.usgs.gov/mrds3080
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10279446,https://mrdata.usgs.gov/mrds,10279446,Greece,"",EPSG:4326,Hagios Ioannis,Hagios Ioannis,",Iron",Laterite nickel,23.25172,38.49884,POINT (23.2517199999999988 38.4988399999999942),283,GEO,https://mrdata.usgs.gov/mrds919
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10298453,https://mrdata.usgs.gov/mrds,10298453,United States,Oregon,EPSG:4326,"",Red Flat Vi,"Iron,,balt,",Iron oxide poly- metallic,-118.22184,44.34346,POINT (-118.2218399999999718 44.3434599999999932),435,GEO,https://mrdata.usgs.gov/mrds3097
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10208111,https://mrdata.usgs.gov/mrds,10208111,Ethiopia,"",EPSG:4326,"",Unknown,"","Laterite nickel,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,Vein ± replacement nickel",38.83117,5.4211,POINT (38.8311700000000002 5.4210999999999991),56,GEO,https://mrdata.usgs.gov/mrds875
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10002734,https://mrdata.usgs.gov/mrds,10002734,United States,Alaska,EPSG:4326,Barrett Prospect,Hot Springs Dome,"Holmium,Gold,Cerium,Erbium,,balt,Neodymium,Lutetium,Gadolinium,Praseodymium,Silver,Yttrium,Terbium,Lanthanum,Dysprosium,Europium,Ytterbium,,Samarium,Thulium,,pper","Iron oxide poly- metallic,Oxidized intrusion- related gold",-150.74749,65.02878,POINT (-150.7474899999999991 65.0287799999999834),213,GEO,https://mrdata.usgs.gov/mrds442
