ms_uri,source_id,record_id,site_name,country,state_or_province,location,crs,commodity
https://minmod.isi.edu/resource/mineral_site5e63a13a187debec26a50b800287cf447ea67ab0a20b4f79953c26d15300f808,MRDS,10308646,Shepard,United States,Alaska,POINT (-154.22797 63.5915),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitebb3b154e2ddc513d98a85c4819cf170521216e902d1e5fef6b208eb9aefb4ab9,MRDS,10230812,Ailao Shan Cobalt Deposit,China,Yunnan,POINT (102.33304 23.24934),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_siteba90d81a3bfdad154ae53461b4cf27880f6397456f3a5487dd7912137c098b67,MRDS,10146206,Blankenburg-Whiteside Prospect,United States,Minnesota,POINT (-90.74154 48.0742),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_siteedc5252e8ef7c108ed2953120345a4b470aacfbd373fd2371b0a93a552f91b61,MRDS,10036815,Big Copper Prospect,United States,Washington,POINT (-121.52093 48.03231),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitee23e9fa5fc3af001ba15e78f81ee7de27be22b1a9fa41df984c3bc155ca4ea48,MRDS,10282764,Chamberlain Bay,United States,Alaska,POINT (-147.18035 60.87268),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitec24319968d9708bcc1d93c15c6ba0a4c78d2a3843c8174db44f65c062192bc71,MRDS,10258155,Chicken Mountain,United States,Alaska,POINT (-157.99043 62.39579),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitec95047d0b829de65599e1922c450891055c1aaf00b5a238641ac4649409084da,MRDS,10135052,(Facility) Shituru Smelter,Congo (Kinshasa),Katanga,POINT (26.78464 -10.96423),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitee7de081be77d2b36c598ff2ee0b9f57cf8ee65dbf31051da3563052daf648a4f,MRDS,10060127,Lea,Chile,,POINT (-71.18844 -28.68636),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site8c3e09355ad869cc3a60001a56b2a264514d531c59430605b32a01154d0e0c64,MRDS,10058155,Deseada Florida,Chile,,POINT (-70.26286 -27.43915),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site8a6c9651dc45eca335935cda4c9f50b9b17d911aa7e4760b35716b63933f7de7,MRDS,10097468,Walnut Creek Mine,United States,Virginia,POINT (-77.88304 38.30282),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site292922fef8b708f399d967a88b4fccab65cc9064e5345b22638bda57033a0ff3,MRDS,10178797,East Fork Mine,United States,Tennessee,POINT (-83.38428 35.8282),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site9f8b456f0a9da4aba3b010ae527e24c7d79ca3e76eb538fdf89adbde59b31da9,MRDS,10208933,Apex 1-12,United States,Alaska,POINT (-148.34612 65.42887),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_siteb35c4dc523a833fd60411c8fdf72fd7bc399e0a50a64d72091e9f851ed7bdba6,MRDS,10096778,Aurora Mt.,United States,Alaska,POINT (-157.0954 67.06147),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitedf2dd3a65a953e87c5c6777356eca9976859c96e45c3ad6e08ef403319022f3d,MRDS,10308613,Black Ridge,United States,Alaska,POINT (-131.43076 55.27274),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site106caef82cd9a336a920871319c12b9ed11fa9908e063da214a921a3444b3abe,MRDS,10087887,Warnock Mine,United States,New Mexico,POINT (-105.85833 32.88012),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site2e907e0652985ec33daf34c8d953e1a9ecf5a9dbc4ca6da7f69f21fe476a55b6,MRDS,10122377,Cobalt Prospect,United States,Minnesota,POINT (-90.67293 48.0717),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitef642f4f6058b219f72dbd517607af8e028b35c88ea48b94efa73190857744e5b,MRDS,10400579,Kiwana,Congo (Kinshasa),Katanga,POINT (26.3161 -10.7335),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sited85ec36b4599014b93e4b4c0003d076a02024d9a475b9b14646f9bee061d3935,MRDS,10084759,Trilofon,Greece,,POINT (22.15179 40.58211),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site65d7399cde1ab0cf361304c479d5159fbcd9c6df68d7698ea6baac3726f0e009,MRDS,10301128,Suiter West Mine    Round Mt,United States,Virginia,POINT (-81.24762 37.12537),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitec54548102d2617f8ee6647921125f704d421abe7ef783a77deb3a0fd7d2ded34,MRDS,10105203,El Topacio,Nicaragua,,POINT (-84.58326 12.08431),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site856c5ea1daf64e59d6cadcbcaa8ab5d3e828712fdffdcdf61363ed3ea784cafa,MRDS,10079755,Greasy Cove Prospect,United States,Alabama,POINT (-86.17747 34.00125),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site3579525f93745120916ca77279b03e9395c1e811fdf64c99a300f0ee41a16fec,MRDS,10076802,Kelsey,United States,California,POINT (-117.88617 34.18669),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site14b475ea00f5306c4974609b5636cb210aefa92307f45274c21cb6b8fac7def7,MRDS,10129028,Baptist Hollow Deposit,United States,Tennessee,POINT (-82.50846 36.15009),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site8ffc8ad51bd216d8230c8ae095f01325bd776eff1900a393fa38164cf8485532,MRDS,10099291,Quartzburg,United States,Oregon,POINT (-118.67855 44.54346),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitedf0e06f9e47122cab3e48beafba6073fbd57a1ea880a04c03ba4c7673c1d82fd,MRDS,10183231,Kamoto,Congo (Kinshasa),Katanga,POINT (25.4009 -10.7143),EPSG:4326,cobalt
