ms,ms_name,country,state_or_province,loc_wkt,group_id
https://minmod.isi.edu/resource/mineral_sitefa801e9090447a446d85c50ef32ba8fbd97a0324f71de9b34e9a5c05f1bc56f4,Phoenix Mine,,Pennsylvania,"POINT (-75.52042, 40.10081)",3228.0
https://minmod.isi.edu/resource/mineral_site900508bc14bf81f2c9eb9bbedee3b0697058fa715b2c1e94fe48cca0840dd305,Wakayama Mine,,Oita,"POINT (131.64893, 32.91544)",3190.0
https://minmod.isi.edu/resource/mineral_site3d38f49e2d374bec36e13c62824a26182153c44b29a225ea14373842ec2177c0,Douglas Island Deposit,,Alaska,"POINT (-134.39534, 58.27808)",3189.0
https://minmod.isi.edu/resource/mineral_site06ca7704312b694f6e08a485799f28569134c3aeaaecfd9625072019f9bff17b,Negro Creek Iron,,Washington,"POINT (-120.73917, 47.04078)",3188.0
https://minmod.isi.edu/resource/mineral_sitec69d4947b1176d01c3c0552fcbf8c0a808e9104cdfacc3617c266bede8c368d2,"Le Nickel S.A. Mines Thio, Kouaoua, Poro, New Caledonia",,Territory of New Caledonia and Dependencies,"POINT (164.99854, -20.99691)",3141.0
https://minmod.isi.edu/resource/mineral_siteacaf9aa6f272dd0e25d6717104755e584eb4a5c9912fca93e1d1e61b60d4624d,Prophecy-Perseverence,,Western Australia,"POINT (121.19927, -20.82994)",3144.0
https://minmod.isi.edu/resource/mineral_site1af61128a71f5e7c4433398f5d421dd74b156a4366605ecc554de1fb6e6ede6c,Sitio De Chico Copper Occurrence,,Alagoas,"POINT (-37.49889, -9.34789)",3148.0
https://minmod.isi.edu/resource/mineral_site34a21c4596df0d586610246b0274191ea32be2867a70a900549c073dff6f850f,Bell Valley,,California,"POINT (-123.30139, 39.02047)",3151.0
https://minmod.isi.edu/resource/mineral_site3a815f8c3c60b993bf8719ae5978034f18b8985e078cef3c4198a4d7ff3a36ad,Achak,,Saskatchewan,"POINT (-107.9199, 59.65287)",3157.0
https://minmod.isi.edu/resource/mineral_site01c4964040be33ddd99fbd66179ccbcc9b1d733768d806cab274eee418a670ed,Manicani Island,,Samar,"POINT (125.63231, 11.00054)",3158.0
https://minmod.isi.edu/resource/mineral_sitec48776e62cf2f6dfa86dbc3bca421cd76e20ab65c191f698b2a65e8e576e8461,Clay County Nickel Prospect,,Minnesota,"POINT (-96.46284, 47.03828)",3162.0
https://minmod.isi.edu/resource/mineral_siteb70b37eb1c716aeea3158f8c08822a260078cab0c03e108162d002198934f463,Clear Creek Cromite Placer,,California,"POINT (-120.77409, 36.35804)",3163.0
