ms_uri,GroupID
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10098406,GROUP158
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10304144,GROUP159
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10254915,GROUP160
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134246,GROUP161
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038449,GROUP162
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10305807,GROUP163
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134250,GROUP164
https://minmod.isi.edu/resource/site__doi-org-10-1016-j-oregeorev-2016-08-010__ishkinino-740,GROUP165
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__ishkinino-1674,GROUP165
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__tundrovskoe-1727,GROUP166
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__chernogorskoe-1668,GROUP167
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__chernogorskoye,GROUP167
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__maslovskoy-1698,GROUP168
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__maslovskoye,GROUP168
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__kingash-group-1683,GROUP169
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__kun-manie-group-1690,GROUP170
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__kun-manie-group,GROUP170
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__bystrinskoe-1665,GROUP171
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__verkhnee-1735,GROUP172
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__taimyr-peninsula-norilsk-talnakh-1721,GROUP173
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__taimyr-peninsula-norilsk-talnakh,GROUP173
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__malaya-pana-north-reef-1696,GROUP174
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__malaya-pana-north-reef-kiyevay,GROUP174
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__mountain-general-skaya-1701,GROUP175
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__mountain-general-skaya,GROUP175
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__kola-peninsula-1684,GROUP176
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__kola-peninsula,GROUP176
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__vuruchuayvench-1737,GROUP177
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__vozhma-massif-orebody-no-4,GROUP178
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__zolotoprozhskoe,GROUP179
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__hursulskoe,GROUP180
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__sueinlagash,GROUP181
