country,ms_uri,source_id,record_id,state_or_province,location,crs,other_names,site_name,commodity,deposit_type,link_method,longitude,latitude,GroupID
Canada,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10109557,https://mrdata.usgs.gov/mrds,10109557,Ontario,POINT (-81.1761699999999848 46.4583199999999934),EPSG:4326,"",North Star,",Silver,pper,Gold,","Anorthosite conduit nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,U-M conduit nickel-copper- PGE",GEO,-81.17617,46.45832,https://mrdata.usgs.gov/mrds1412
Bolivia,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10005843,https://mrdata.usgs.gov/mrds,10005843,"",POINT (-67.2327999999999975 -22.5808599999999977),EPSG:4326,"",Laguna Catalcito,",,Bro,",Lacustrine brine lithium,GEO,-67.2328,-22.58086,https://mrdata.usgs.gov/mrds1413
Australia,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079593,https://mrdata.usgs.gov/mrds,10079593,Western Australia,POINT (122.2325300000000112 -28.4795399999999965),EPSG:4326,"",Australia,"pper,,,Iron","Impact U-M intrusion nickel- copper-PGE,Komatiite nickel-copper-PGE",GEO,122.23253,-28.47954,https://mrdata.usgs.gov/mrds1414
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10033431,https://mrdata.usgs.gov/mrds,10033431,Oregon,POINT (-117.5849099999999936 44.4020799999999909),EPSG:4326,"",Berry,"",U-M conduit nickel-copper- PGE,GEO,-117.58491,44.40208,https://mrdata.usgs.gov/mrds1415
Saudi Arabia,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10069264,https://mrdata.usgs.gov/mrds,10069264,"",POINT (44.1178099999999986 18.1332799999999992),EPSG:4326,"",Wadi Qatan Saudia Arabia,",","Black shale nickel ± Mo- PGE,Ophiolite nickel-copper-PGE",GEO,44.11781,18.13328,https://mrdata.usgs.gov/mrds1416
Slovenia,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182432,https://mrdata.usgs.gov/mrds,10182432,"",POINT (21.0518500000000017 42.3820299999999932),EPSG:4326,"",Feni Smelt Operation,"","Black shale nickel ± Mo- PGE,Laterite nickel,Ophiolite nickel-copper-PGE,Vein ± replacement nickel",GEO,21.05185,42.38203,https://mrdata.usgs.gov/mrds1417
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10048509,https://mrdata.usgs.gov/mrds,10048509,Montana,POINT (-110.0755199999999974 45.4082500000000024),EPSG:4326,"",Iron Mountain Camp,",,,balt,Gold,Silver,,pper, elements","U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE",GEO,-110.07552,45.40825,https://mrdata.usgs.gov/mrds1418
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10221955,https://mrdata.usgs.gov/mrds,10221955,Montana,POINT (-110.0757999999999868 45.4082200000000000),EPSG:4326,"Camp Deposit,Stillwater West",Iron Mountain Camp,"balt,,pper,","Arc U-M intru- sion nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE",GEO,-110.0758,45.40822,https://mrdata.usgs.gov/mrds1418
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10225422,https://mrdata.usgs.gov/mrds,10225422,Oregon,POINT (-123.7489500000000078 42.0526199999999974),EPSG:4326,"",West Fork Illinois River,",,balt","Laterite nickel,Ophiolite nickel-copper-PGE,Vein ± replacement nickel",GEO,-123.74895,42.05262,https://mrdata.usgs.gov/mrds1419
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10033282,https://mrdata.usgs.gov/mrds,10033282,Oregon,POINT (-123.7489300000000014 42.0525999999999911),EPSG:4326,"",West Fork of Illinois River,"balt,,",Laterite nickel,GEO,-123.74893,42.0526,https://mrdata.usgs.gov/mrds1419
Russia,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10133747,https://mrdata.usgs.gov/mrds,10133747,"",POINT (30.2703199999999981 69.4152299999999940),EPSG:4326,"",Promezhutochnoe,"","Black shale nickel ± Mo- PGE,Ophiolite nickel-copper-PGE,Vein ± replacement nickel",GEO,30.27032,69.41523,https://mrdata.usgs.gov/mrds1420
Canada,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097136,https://mrdata.usgs.gov/mrds,10097136,Quebec,POINT (-77.7163099999999787 49.7250000000000014),EPSG:4326,"",Mattagami Lake,"elements,,pper","Anorthosite conduit nickel- copper-PGE,Ophiolite nickel-copper-PGE,U-M conduit nickel-copper- PGE",GEO,-77.71631,49.725,https://mrdata.usgs.gov/mrds1421
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10268371,https://mrdata.usgs.gov/mrds,10268371,Missouri,POINT (-90.4123000000000019 37.4397700000000029),EPSG:4326,"",Ware,"pper,,,balt",Vein cobalt ± Ni,GEO,-90.4123,37.43977,https://mrdata.usgs.gov/mrds1422
France,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10231923,https://mrdata.usgs.gov/mrds,10231923,"",POINT (165.9985399999999629 -19.9969700000000010),EPSG:4326,Poro,Poro,"balt,",Laterite nickel,GEO,165.99854,-19.99697,https://mrdata.usgs.gov/mrds1423
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10002377,https://mrdata.usgs.gov/mrds,10002377,Alaska,POINT (-134.9944999999999595 57.8027899999999946),EPSG:4326,"",Big Ledge pper,"pper,,","Arc U-M intru- sion nickel- copper-PGE,U-M conduit nickel-copper- PGE,Vein ± replacement nickel",GEO,-134.9945,57.80279,https://mrdata.usgs.gov/mrds1424
France,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085265,https://mrdata.usgs.gov/mrds,10085265,"",POINT (165.4833000000000141 -21.1485599999999963),EPSG:4326,"",Cgmc Moneo,"",Laterite nickel,GEO,165.4833,-21.14856,https://mrdata.usgs.gov/mrds1425
France,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000628,https://mrdata.usgs.gov/mrds,60000628,"",POINT (166.4485100000000273 -21.8301900000000018),EPSG:4326,"Rene 8 Mines,Catherine 7a,Mj 10",Goye,",balt",Laterite nickel,GEO,166.44851,-21.83019,https://mrdata.usgs.gov/mrds1426
Vietnam,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134288,https://mrdata.usgs.gov/mrds,10134288,"",POINT (103.5497099999999904 21.1995199999999997),EPSG:4326,"",Ban Phuc,"balt,,pper","Laterite nickel,Ophiolite nickel-copper-PGE,Vein ± replacement nickel",GEO,103.54971,21.19952,https://mrdata.usgs.gov/mrds1427
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10000367,https://mrdata.usgs.gov/mrds,10000367,Alaska,POINT (-145.5424700000000087 60.3496000000000095),EPSG:4326,"",Unnamed,"Iron,Gold,,,,,Zirnium,",Fluvial placer gold,GEO,-145.54247,60.3496,https://mrdata.usgs.gov/mrds1428
