ms_uri,source_id,site_name,country,state_or_province,location,crs,commodity
https://minmod.isi.edu/resource/mineral_siteec3055ea5e2fde03ca404caeef042b412d51a14cd30f48c1b0cad696ac8b22d6,MRDS,Bi Metallic Group,United States,Oregon,"POINT (-118.54045, 44.71795)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site3b9d2f7ced0b3e9ff720094e03a8988efe567f9ffa8d3f1abccc49df5879ab82,MRDS,Moxie Pond (Black Narrows) Pyrrhotite,United States,Maine,"POINT (-69.84576, 45.31483)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site86e27f4fd95830d175cfa95565fb3e6a6e99bb2185adaa62b902e65b630a869d,MRDS,Springfield,United States,Maryland,"POINT (-76.97745, 39.38336)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitee7f8c7c1030a75f86a05de8b03ce07bf72bc494340108d2ab3b62a7b2ce2d9c9,MRDS,Envirochem Mill,United States,Nevada,"POINT (-114.06611, 36.81749)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site13139f951f13aa9a5ec4020dc6b7604bf448b8a8fe30ee5d31c056722fa6705c,MRDS,19 Mile Nickel Deposit,United States,Montana,"POINT (-112.35558, 45.8221)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site9d7a8b01a3e6f9b00133ed0d206a90be8709006036ccd41db5b121be98997727,MRDS,Bare Hills Copper Mine,United States,Maryland,"POINT (-76.66356, 39.37503)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_siteeaf7dfc49ea224edacf04c12873b4c733e736e5f861475d161402a7e5fbd95e0,MRDS,Ora Banda,Australia,Western Australia,"POINT (121.06591, -30.44611)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site8e17e65217fda7c3be24bb7ad4018bd33f545d9f95715eafe37faa7335c3cd8a,MRDS,Cons. Mogador,Canada,Quebec,"POINT (-77.69408, 48.40832)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitebd0bb5ef17578dd72920d56f2f25bab65ed77527f1554c197f3b49cd53fb18d4,MRDS,Unnamed,China,,"POINT (103.83393, 36.56139)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site8e3067d69a49d90e14c81a7b59114c760fe2d74ad303103b133d09d1caf9650a,MRDS,Edwards,United States,California,"POINT (-115.97554, 32.79479)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitefc8dc349d22bbac0070ada535d1af3d43ee34fbd83bdf68ec1382b18a42e4944,MRDS,"Mount Martin, Australia",Australia,Western Australia,"POINT (122.17743, -25.46243)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site9926cf0b62988f7e734c3ef4c31c4ccc7869f0320edad208c349a5312c3d4d7b,MRDS,Red Fox Nickel Deposits,United States,Nevada,"POINT (-117.19342, 38.47053)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site9429ccfefcc31312411344e523f894d63ba95b30ba4aa9a0873d1ec7798e3eb6,MRDS,Ertelien Grube =Mine,Norway,,"POINT (10.05952, 60.06767)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site7de91388558e7d14f7eaa92ce5f122c03e7e0e95f43a87e0e4de666e6e5052cc,MRDS,Treasure Hill Mine,United States,Colorado,"POINT (-105.22279, 40.74308)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitedea0ac622cd72b0ab668ebffb3c60bb29a2fb7450a2ce354f2bf80e56b3f6ddd,MRDS,Pool Deposit,United States,Connecticut,"POINT (-73.25844, 41.73939)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site93a7296d06732e5a2a5c1cd6b104cf8b651a278b7e52c63c5dea40fa4086e994,MRDS,Intial Ni-Cu,United States,Montana,"POINT (-109.94885, 45.38575)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site117ec1882057d5f7499534da05e1e11e4787cc9c2e1052d5d7681e109c7ef025,MRDS,Red Flat Laterite,United States,Oregon,"POINT (-124.29089, 42.34148)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site98d5be4d5f6faf89d4af3f4e51f91bd4bdc61bb04185d4c3756e0487c529cc14,MRDS,Beaver Cr-Cabin Cr Synclinal Area,United States,Montana,"POINT (-111.40693, 44.97551)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site687b2a6773d68e341eb59168940505a4e4c80dcfaca9b7c397f99aef9b4b0bfa,MRDS,Unnamed,United States,Alaska,"POINT (-151.82283, 62.69147)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitedab7c8b1f881443cb8c31e7a778538634a2212b02790916bafd94f11fc8cf560,MRDS,Long Mine (Kambalda Deposit Group),Australia,Western Australia,"POINT (121.67139, -31.16969)",EPSG:4326,nickel
